ID,phase,x1,x2,x3,x4,tau_min,y1,y2,y3
1,LHS,0.215,208.2762,23.0,61.0,28,415,15.0,2.255
2,LHS,0.2851,223.2933,15.0,63.0,20,356,13.3,1.904
3,LHS,0.1344,211.1346,16.0,62.0,34,403,14.0,1.328
4,LHS,0.1413,219.1235,29.0,71.0,35,576,21.7,3.884
5,LHS,0.232,229.7293,27.0,77.0,28,484,19.4,4.055
6,LHS,0.1824,206.9604,11.0,74.0,23,292,10.3,0.764
7,LHS,0.2255,226.4943,20.0,80.0,25,408,15.7,2.054
8,LHS,0.1298,216.1641,28.0,79.0,36,512,18.3,3.495
9,LHS,0.1091,214.7208,24.0,67.0,42,520,19.9,3.345
10,LHS,0.1778,225.0918,21.0,70.0,26,436,16.8,2.756
11,LHS,0.1911,212.655,13.0,69.0,23,317,11.1,0.853
12,LHS,0.2679,220.2401,25.0,73.0,25,453,18.2,3.4
13,LHS,0.2993,224.831,19.0,72.0,21,402,15.8,2.528
14,LHS,0.2066,228.577,11.0,66.0,23,325,11.3,0.784
15,LHS,0.153,221.7947,17.0,64.0,29,413,14.2,1.48
16,LHS,0.2435,208.872,17.0,66.0,23,359,13.1,1.448
17,LHS,0.253,217.5267,13.0,76.0,21,320,11.3,0.919
18,LHS,0.1172,211.5079,26.0,61.0,44,540,20.2,3.326
19,LHS,0.1613,205.0463,23.0,71.0,30,484,19.0,3.847
20,LHS,0.2736,217.0135,20.0,78.0,22,383,15.4,2.429
21,TS,0.1945,208.125,11.0,75.0,22,289,10.7,0.6142
22,TS,0.1922,206.6318,12.0,72.0,23,315,11.4,0.7472
23,TS,0.1861,210.5209,12.0,70.0,24,341,11.6,0.8316
24,TS,0.2459,218.3172,13.0,77.0,21,322,11.7,0.9518
25,TS,0.2078,209.3813,12.0,72.0,22,300,10.8,0.6941
26,TS,0.1946,214.4887,13.0,70.0,23,335,11.5,0.8102
27,TS,0.1901,205.5389,12.0,75.0,23,316,10.8,0.6635
28,TS,0.2148,212.7374,12.0,72.0,24,309,11.3,0.7938
29,PAS,0.141,206.0,28.6,71.0,35,510,16.7,4.139
30,PAS,0.165,205.0,29.0,71.0,31,476,16.0,3.943
31,PAS,0.2,206.6,30.0,64.57,27,504,17.7,3.806
32,PAS,0.13,219.8,25.81,65.69,38,540,19.2,3.525
33,PAS,0.16,210.2,28.87,66.92,31,500,17.2,4.1
34,PAS,0.15,214.3,25.02,70.92,32,502,18.6,3.973
35,PAS,0.2,217.5,27.22,68.49,26,477,18.7,4.657
36,PAS,0.12,218.9,27.54,67.19,40,551,19.8,4.919
37,PAS,0.18,222.1,26.62,62.95,29,498,19.0,4.772
38,PAS,0.15,223.5,28.39,70.74,32,512,19.1,5.022
